0.000000000	192.168.100.105	8.8.8.8
1.119111510	192.168.100.105	8.8.8.8
2.133043843	192.168.100.105	8.8.8.8
3.159336771	192.168.100.105	8.8.8.8
4.270832108	192.168.100.105	8.8.8.8
4.856763012	192.168.100.105	8.8.8.8
5.193814856	192.168.100.105	8.8.8.8
5.784840273	192.168.100.105	8.8.8.8
6.374986706	192.168.100.105	8.8.8.8
6.435892496	192.168.100.105	8.8.8.8
7.293912117	192.168.100.105	8.8.8.8
8.494946607	192.168.100.105	8.8.8.8
8.589181423	192.168.100.105	8.8.8.8
10.037138752	192.168.100.105	8.8.8.8
10.658427777	192.168.100.105	8.8.8.8
11.500831568	192.168.100.105	8.8.8.8
12.719818843	192.168.100.105	8.8.8.8
13.430009662	192.168.100.105	8.8.8.8
14.411581582	192.168.100.105	8.8.8.8
14.816853413	192.168.100.105	8.8.8.8
15.007497189	192.168.100.105	8.8.8.8
15.618419150	192.168.100.105	8.8.8.8
15.946451607	192.168.100.105	8.8.8.8
16.267368678	192.168.100.105	8.8.8.8
16.895781110	192.168.100.105	8.8.8.8
17.302371671	192.168.96.1	224.0.0.251
17.303312229		
17.408316610	192.168.100.105	8.8.8.8
18.321412666	192.168.96.1	224.0.0.251
18.321987218		
18.978791317	192.168.100.105	8.8.8.8
19.423312179	192.168.100.105	8.8.8.8
20.355347201	192.168.96.1	224.0.0.251
20.355982806		
20.937919953	192.168.100.105	8.8.8.8
21.058765221	192.168.100.105	8.8.8.8
22.313010098	192.168.100.105	8.8.8.8
22.978719644	192.168.100.105	8.8.8.8
23.418537833	192.168.100.105	8.8.8.8
25.028283830	192.168.100.105	8.8.8.8
25.255905823	192.168.100.105	8.8.8.8
26.586846658	192.168.100.105	8.8.8.8
27.081480489	192.168.100.105	8.8.8.8
27.282029896	192.168.100.105	8.8.8.8
27.952560321	192.168.100.105	8.8.8.8
28.768167983	192.168.100.105	8.8.8.8
29.133348778	192.168.100.105	8.8.8.8
29.585049463	192.168.100.105	8.8.8.8
30.636081661	192.168.100.105	8.8.8.8
31.212069955	192.168.100.105	8.8.8.8
31.588163964	192.168.100.105	8.8.8.8
33.135825866	192.168.100.105	8.8.8.8
33.359963282	192.168.100.105	8.8.8.8
33.672440767	192.168.100.105	8.8.8.8
