0.000000000		
0.067554100		
0.270610800		
0.374780300		
0.374782600		
0.419675000		
0.577164600		
0.690281700		
0.784332900		
0.784380200		
0.907222700		
1.084871600		
1.091667300		
1.091680700	65.9.62.32	10.111.18.225
1.093901100		
1.108234200		
1.108455400		
1.108527000		
1.108871800		
1.144155700	10.111.18.225	65.9.62.32
1.155070000		
1.155071400		
1.155079500		
1.155082500		
1.155088600		
1.155090900		
1.155103600		
1.156149800	10.111.18.225	35.176.23.94
1.156318300		
1.156589000		
1.156990800		
1.157070400		
1.157182600		
1.157247100		
1.157332600		
1.157402600		
1.157448700		
1.157497800		
1.157542700		
1.157886200		
1.158425900		
1.179364100		
1.179366600		
1.179367400		
1.179368100		
1.179540400		
1.179541200		
1.179541900		
1.179542500		
1.179543500		
1.180241300		
1.180506600		
1.180598500		
1.195063200		
1.209176500		
1.209386400		
1.212748600		
1.212967500		
1.278442900		
1.282061400		
1.282063100		
1.282063900		
1.282072400		
1.282075400		
1.282082800		
1.282089600		
1.282104400		
1.282107300		
1.282110100		
1.282114200		
1.282118000		
1.282125300		
1.282128700		
1.282135200		
1.282136200	35.176.23.94	10.111.18.225
1.283337700		
1.284230600		
1.284604900		
1.284696700		
1.284921000		
1.285567700		
1.289460800		
1.289468500		
1.290128300		
1.294507900		
1.294517000		
1.294523900		
1.294526500		
1.294532900		
1.295035900		
1.295255100		
1.295359600		
1.302733900		
1.302738600		
1.302742900		
1.302744700		
1.302946300		
1.303234400		
1.335910100		
1.340257600		
1.398725200		
1.410228600		
1.414913000		
1.420265500		
1.421263300		
1.421770500		
1.422738300		
1.422918600		
1.423132100		
1.423200100		
1.425414000		
1.425415800		
1.425628100		
1.425734000		
1.425784800		
1.425971300		
1.426024600		
1.426181400		
1.426310600		
1.426347200		
1.427576500		
1.427987200		
1.428804000		
1.428805300		
1.428805900		
1.429149700		
1.429822600		
1.429893700		
1.430611500		
1.430613500		
1.431094700		
1.431594700		
1.433555900		
1.433557400		
1.433693600		
1.433838400		
1.435002900		
1.435773200		
1.450152800		
1.458124000		
1.458133600		
1.458138100		
1.458142000		
1.458144700		
1.458926400		
1.459372600		
1.467886300		
1.468563400		
1.469869200		
1.470069900		
1.470190800		
1.470256900		
1.501379200		
1.501381700		
1.501383500		
1.501384400		
1.501633900		
1.502166700		
1.502724300		
1.521700900		
1.521708000		
1.521715200		
1.521719100		
1.522525600		
1.522764400		
1.524921700		
1.524929200		
1.524932000		
1.524935200		
1.524937600		
1.524946800		
1.524949300		
1.524961100		
1.524963400		
1.524967600		
1.524970600		
1.525513500		
1.525721400		
1.525796500		
1.525864800		
1.525949000		
1.528418200		
1.528421700		
1.528424100		
1.528425900		
1.528428000		
1.528430100		
1.528432700		
1.528434900		
1.528436600		
1.529023900		
1.529299800		
1.529440100		
1.529520700		
1.529599500		
1.536026100		
1.536028700		
1.536033300		
1.536041900		
1.536044100		
1.536045600		
1.536047800		
1.536050000		
1.536052300		
1.536054200		
1.536057400		
1.536059400		
1.536644400		
1.536843300		
1.536918400		
1.537001000		
1.537080400		
1.537156900		
1.538288600		
1.538292600		
1.538295300		
1.538302600		
1.539020000		
1.539241000		
1.542170200		
1.542174300		
1.542180000		
1.542184600		
1.542191200		
1.542198400		
1.542200800		
1.542204100		
1.542767400		
1.542955500		
1.543026800		
1.543103500		
1.546440200		
1.546444100		
1.546446300		
1.546452800		
1.546991100		
1.547212600		
1.549749800		
1.549754700		
1.549760400		
1.549770200		
1.549773000		
1.549780500		
1.549787100		
1.549791000		
1.550474900		
1.551090200		
1.551542000		
1.551754300		
1.553065600		
1.553613800		
1.553621500		
1.553624300		
1.553629400		
1.553633700		
1.553636200		
1.553638700		
1.553641100		
1.554109400		
1.554257100		
1.554322900		
1.554386300		
1.557380500		
1.557383900		
1.557386300		
1.557388900		
1.557400100		
1.557402600		
1.557404500		
1.557406100		
1.557407500		
1.557409800		
1.557411300		
1.557412900		
1.557417000		
1.558079000		
1.558308900		
1.558391500		
1.558461000		
1.558538900		
1.558625800		
1.561876700		
1.561880100		
1.561882800		
1.561889100		
1.561894200		
1.561897300		
1.561902700		
1.561906500		
1.561911800		
1.561918500		
1.561921000		
1.561926000		
1.561938000		
1.561940300		
1.561945300		
1.561948200		
1.561951900		
1.561953800		
1.562578300		
1.562764300		
1.562830700		
1.562905300		
1.562984200		
1.563182700		
1.563189200		
1.563194400		
1.563197100		
1.563201600		
1.563204700		
1.563208500		
1.563212500		
1.563219100		
1.563221400		
1.563403400		
1.563607600		
1.563831500		
1.566526600		
1.566529700		
1.566540000		
1.566547400		
1.566552100		
1.566554500		
1.566560800		
1.566565900		
1.566568200		
1.566574900		
1.566576400		
1.566581400		
1.566585200		
1.566586900		
1.566593100		
1.566596200		
1.566598900		
1.566604300		
1.566606800		
1.566611700		
1.566615500		
1.566618000		
1.567328600		
1.567938700		
1.570584400		
1.570588900		
1.570592300		
1.570600100		
1.570607800		
1.571273700		
1.572739900		
1.572747600		
1.572774400		
1.572785900		
1.572794600		
1.572797000		
1.572799900		
1.572805100		
1.572815100		
1.572819200		
1.572822100		
1.572886700		
1.573595200		
1.573671700		
1.573675400		
1.573678200		
1.573682300		
1.573690900		
1.578870500		
1.579499900		
1.579776000		
1.580037500		
1.582619100		
1.582628900		
1.582632700		
1.582639200		
1.582642200		
1.582643800		
1.582646500		
1.582658700		
1.582662600		
1.582665900		
1.582669800		
1.582677100		
1.583434000		
1.583436600		
1.583438800		
1.583441200		
1.583443100		
1.583445000		
1.583446900		
1.583448800		
1.583454800		
1.583460600		
1.583463200		
1.583465600		
1.583467600		
1.583469800		
1.583472100		
1.583474400		
1.583476400		
1.583478400		
1.583480600		
1.583482800		
1.583485000		
1.583486800		
1.583488900		
1.583490900		
1.583495800		
1.583499800		
1.583501700		
1.583502400		
1.583502900		
1.583770000		
1.583851400		
1.583868400		
1.583880800		
1.584179200		
1.584381000		
1.584585800		
1.584640700		
1.584727500		
1.584772400		
1.584840000		
1.584879600		
1.586159800		
1.586162000		
1.586163600		
1.586165800		
1.586167500		
1.586168800		
1.586170600		
1.586172100		
1.586177600		
1.586180800		
1.586182500		
1.586184300		
1.586194800		
1.586196400		
1.586198400		
1.586200500		
1.586202300		
1.586204200		
1.586206200		
1.586207900		
1.586209900		
1.586211900		
1.586215900		
1.586218100		
1.586221900		
1.586223900		
1.586226000		
1.586804400		
1.587046000		
1.587195500		
1.587838400		
1.587841000		
1.587842700		
1.587845400		
1.587849700		
1.587851600		
1.587853500		
1.587855000		
1.587856400		
1.587858100		
1.588085600		
1.588086300		
1.588087300		
1.588088000		
1.588088800		
1.588089400		
1.588263700		
1.589178500		
1.589180400		
1.589181500		
1.589493100		
