0.000000000	192.168.100.105	8.8.8.8
0.064147008	192.168.100.105	8.8.8.8
0.795644210	192.168.100.105	8.8.8.8
1.748846144	192.168.100.105	8.8.8.8
2.521038194	192.168.100.105	8.8.8.8
2.936964844	192.168.100.105	8.8.8.8
3.853139825	192.168.100.105	8.8.8.8
4.379300151	192.168.100.105	8.8.8.8
5.075852361	192.168.100.105	8.8.8.8
5.098158764	192.168.100.105	8.8.8.8
5.153788922	192.168.100.105	8.8.8.8
6.011541607	192.168.100.105	8.8.8.8
6.921465281	192.168.100.105	8.8.8.8
7.130809273	192.168.100.105	8.8.8.8
8.618714511	192.168.100.105	8.8.8.8
9.290765591	192.168.100.105	8.8.8.8
10.157680871	192.168.100.105	8.8.8.8
10.455681484	192.168.100.105	8.8.8.8
11.457314541	192.168.100.105	8.8.8.8
11.685044716	192.168.100.105	8.8.8.8
12.376359741	192.168.100.105	8.8.8.8
13.642685368	192.168.100.105	8.8.8.8
14.303143183	192.168.100.105	8.8.8.8
14.598793342	192.168.100.105	8.8.8.8
14.901024051	192.168.100.105	8.8.8.8
15.115787693	192.168.100.105	8.8.8.8
15.282087926	192.168.100.105	8.8.8.8
15.692151341	192.168.100.105	8.8.8.8
16.556222497	192.168.100.105	8.8.8.8
17.771633567	192.168.100.105	8.8.8.8
18.582569951	192.168.100.105	8.8.8.8
19.851285038	192.168.100.105	8.8.8.8
20.256746140	192.168.100.105	8.8.8.8
20.357521534	192.168.100.105	8.8.8.8
21.678080142	192.168.100.105	8.8.8.8
21.926608768	192.168.100.105	8.8.8.8
22.661638042	192.168.100.105	8.8.8.8
23.548455943	192.168.100.105	8.8.8.8
24.006743430	192.168.100.105	8.8.8.8
24.700481836	192.168.100.105	8.8.8.8
24.844584739	192.168.100.105	8.8.8.8
25.527561437	192.168.100.105	8.8.8.8
26.307555179	192.168.100.105	8.8.8.8
27.178028456	192.168.100.105	8.8.8.8
27.681890181	192.168.100.105	8.8.8.8
28.229286680	192.168.100.105	8.8.8.8
29.747451227	192.168.100.105	8.8.8.8
29.774120604	192.168.100.105	8.8.8.8
30.044056427	192.168.100.105	8.8.8.8
30.989160047	192.168.100.105	8.8.8.8
31.711199113	192.168.100.105	8.8.8.8
31.809707045	192.168.100.105	8.8.8.8
32.397971654	192.168.100.105	8.8.8.8
33.386868308	192.168.100.105	8.8.8.8
33.912981225	192.168.100.105	8.8.8.8
33.951309743	192.168.100.105	8.8.8.8
35.154993467	192.168.100.105	8.8.8.8
35.183096792	192.168.100.105	8.8.8.8
35.973001989	192.168.100.105	8.8.8.8
35.976027336	192.168.100.105	8.8.8.8
36.773016772	192.168.100.105	8.8.8.8
38.031408081	192.168.100.105	8.8.8.8
38.228869457	192.168.100.105	8.8.8.8
39.383255871	192.168.100.105	8.8.8.8
40.181942294	192.168.100.105	8.8.8.8
40.215730160	192.168.100.105	8.8.8.8
40.526484663	192.168.100.105	8.8.8.8
41.885773646	192.168.100.105	8.8.8.8
42.361324947	192.168.100.105	8.8.8.8
42.691386963	192.168.100.105	8.8.8.8
44.450904074	192.168.100.105	8.8.8.8
44.667001667	192.168.100.105	8.8.8.8
45.364058155	192.168.100.105	8.8.8.8
45.719469981	192.168.100.105	8.8.8.8
