"No.","Time","Source","Destination","Protocol","Length","Info"
"14800","291.081592091","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=10030 Ack=1134292 Win=65535 Len=0"
"14801","291.081619803","185.199.110.154","10.0.2.15","TLSv1.3","1498","Application Data"
"14802","291.081714751","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=1135736 Ack=10030 Win=65535 Len=1444 [TCP PDU reassembled in 14808]"
"14803","291.081727756","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=10030 Ack=1137180 Win=65535 Len=0"
"14804","291.081780925","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=1137180 Ack=10030 Win=65535 Len=1444 [TCP PDU reassembled in 14808]"
"14805","291.081870473","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=1138624 Ack=10030 Win=65535 Len=1444 [TCP PDU reassembled in 14808]"
"14806","291.081883508","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=10030 Ack=1140068 Win=65535 Len=0"
"14807","291.082106306","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=1140068 Ack=10030 Win=65535 Len=1444 [TCP PDU reassembled in 14808]"
"14808","291.082196815","185.199.110.154","10.0.2.15","TLSv1.3","1530","Application Data"
"14809","291.082229216","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=10030 Ack=1142988 Win=65535 Len=0"
"14810","291.334187392","10.0.2.15","140.82.121.4","TLSv1.3","194","Application Data"
"14811","291.334411372","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=1965 Win=65535 Len=0"
"14812","291.334800843","10.0.2.15","140.82.121.4","TLSv1.3","191","Application Data"
"14813","291.334890521","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=2102 Win=65535 Len=0"
"14814","291.335607486","10.0.2.15","140.82.121.4","TLSv1.3","161","Application Data"
"14815","291.335728132","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=2209 Win=65535 Len=0"
"14816","291.336361510","10.0.2.15","140.82.112.22","TLSv1.3","176","Application Data"
"14817","291.336384153","10.0.2.15","140.82.112.22","TLSv1.3","1076","Application Data"
"14818","291.336465515","140.82.112.22","10.0.2.15","TCP","60","443  >  40344 [ACK] Seq=7954 Ack=6588 Win=65535 Len=0"
"14819","291.336465626","140.82.112.22","10.0.2.15","TCP","60","443  >  40344 [ACK] Seq=7954 Ack=7610 Win=65535 Len=0"
"14820","291.336610758","10.0.2.15","140.82.121.4","TLSv1.3","154","Application Data"
"14821","291.336685899","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=2309 Win=65535 Len=0"
"14822","291.336947620","10.0.2.15","140.82.121.4","TLSv1.3","152","Application Data"
"14823","291.337022460","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=2407 Win=65535 Len=0"
"14824","291.337400659","10.0.2.15","140.82.121.4","TLSv1.3","164","Application Data"
"14825","291.337479598","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=2517 Win=65535 Len=0"
"14826","291.385599457","10.0.2.15","140.82.112.22","TLSv1.3","151","Application Data"
"14827","291.385634994","10.0.2.15","140.82.112.22","TLSv1.3","984","Application Data"
"14828","291.385802809","140.82.112.22","10.0.2.15","TCP","60","443  >  40344 [ACK] Seq=7954 Ack=7707 Win=65535 Len=0"
"14829","291.385803009","140.82.112.22","10.0.2.15","TCP","60","443  >  40344 [ACK] Seq=7954 Ack=8637 Win=65535 Len=0"
"14830","291.388954992","10.0.2.15","140.82.121.4","TLSv1.3","176","Application Data"
"14831","291.389081228","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=2639 Win=65535 Len=0"
"14832","291.389733582","10.0.2.15","140.82.121.4","TLSv1.3","196","Application Data"
"14833","291.389832758","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=2781 Win=65535 Len=0"
"14834","291.394746375","10.0.2.15","140.82.121.4","TLSv1.3","180","Application Data"
"14835","291.395092324","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=2907 Win=65535 Len=0"
"14836","291.395142908","10.0.2.15","140.82.121.4","TLSv1.3","153","Application Data"
"14837","291.395245321","140.82.121.4","10.0.2.15","TCP","60","443  >  56760 [ACK] Seq=76001 Ack=3006 Win=65535 Len=0"
"14838","291.453065335","140.82.112.22","10.0.2.15","TLSv1.3","102","Application Data"
"14839","291.453114958","10.0.2.15","140.82.112.22","TCP","54","40344  >  443 [ACK] Seq=8637 Ack=8002 Win=62780 Len=0"
"14840","291.455813831","10.0.2.15","140.82.121.6","TLSv1.3","182","Application Data"
"14841","291.455853726","10.0.2.15","140.82.121.6","TLSv1.3","1564","Application Data"
"14842","291.455923667","10.0.2.15","140.82.121.6","TCP","7354","42074  >  443 [PSH, ACK] Seq=4370 Ack=5074 Win=62816 Len=7300 [TCP PDU reassembled in 14851]"
"14843","291.456020939","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=2860 Win=65535 Len=0"
"14844","291.456021490","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=4320 Win=65535 Len=0"
"14845","291.456021540","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=4370 Win=65535 Len=0"
"14846","291.456021580","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=5830 Win=65535 Len=0"
"14847","291.456021631","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=7290 Win=65535 Len=0"
"14848","291.456021681","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=8750 Win=65535 Len=0"
"14849","291.456046547","10.0.2.15","140.82.121.6","TCP","2974","42074  >  443 [PSH, ACK] Seq=11670 Ack=5074 Win=62816 Len=2920 [TCP PDU reassembled in 14851]"
"14850","291.456058369","10.0.2.15","140.82.121.6","TCP","2974","42074  >  443 [PSH, ACK] Seq=14590 Ack=5074 Win=62816 Len=2920 [TCP PDU reassembled in 14851]"
"14851","291.456082344","10.0.2.15","140.82.121.6","TLSv1.3","11734","Application Data"
"14852","291.456124453","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=10210 Win=65535 Len=0"
"14853","291.456124564","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=11670 Win=65535 Len=0"
"14854","291.456124634","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=13130 Win=65535 Len=0"
"14855","291.456124694","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=14590 Win=65535 Len=0"
"14856","291.456124744","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=16050 Win=65535 Len=0"
"14857","291.456124804","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=17510 Win=65535 Len=0"
"14858","291.456124864","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=18970 Win=65535 Len=0"
"14859","291.456134723","10.0.2.15","140.82.121.6","TCP","2974","42074  >  443 [PSH, ACK] Seq=29190 Ack=5074 Win=62816 Len=2920 [TCP PDU reassembled in 14869]"
"14860","291.456144912","10.0.2.15","140.82.121.6","TCP","2974","42074  >  443 [PSH, ACK] Seq=32110 Ack=5074 Win=62816 Len=2920 [TCP PDU reassembled in 14869]"
"14861","291.456235351","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=20430 Win=65535 Len=0"
"14862","291.456235432","140.82.121.6","10.0.2.15","TCP","60","443  >  42074 [ACK] Seq=5074 Ack=21890 Win=65535 Len=0"
