0.000000000	192.168.100.105	8.8.8.8
2.074988246	192.168.100.105	8.8.8.8
3.753352756	192.168.100.105	8.8.8.8
4.211756128	192.168.100.105	8.8.8.8
6.344830343	192.168.100.105	8.8.8.8
8.486756900	192.168.100.105	8.8.8.8
10.626274474	192.168.100.105	8.8.8.8
12.766305675	192.168.100.105	8.8.8.8
13.007032212	192.168.100.105	8.8.8.8
14.888545511	192.168.100.105	8.8.8.8
16.957795759	192.168.100.105	8.8.8.8
19.022668055	192.168.100.105	8.8.8.8
20.150086255	192.168.100.105	8.8.8.8
21.079414857	192.168.100.105	8.8.8.8
23.155730437	192.168.100.105	8.8.8.8
24.807539588	192.168.100.105	8.8.8.8
25.219165946	192.168.100.105	8.8.8.8
27.333273803	192.168.100.105	8.8.8.8
29.498851963	192.168.100.105	8.8.8.8
31.474698614	192.168.100.105	8.8.8.8
32.635619097	192.168.100.105	8.8.8.8
33.643445337	192.168.100.105	8.8.8.8
35.750809452	192.168.100.105	8.8.8.8
37.870493399	192.168.100.105	8.8.8.8
40.024608850	192.168.100.105	8.8.8.8
40.887145189	192.168.100.105	8.8.8.8
42.164388938	192.168.100.105	8.8.8.8
44.320140154	192.168.100.105	8.8.8.8
46.480042079	192.168.100.105	8.8.8.8
48.541236346	192.168.100.105	8.8.8.8
49.286284081	192.168.100.105	8.8.8.8
50.706313091	192.168.100.105	8.8.8.8
52.777687604	192.168.100.105	8.8.8.8
54.831971552	192.168.100.105	8.8.8.8
55.919587039	192.168.100.105	8.8.8.8
57.017634050	192.168.100.105	8.8.8.8
59.288824374	192.168.100.105	8.8.8.8
61.257787413	192.168.100.105	8.8.8.8
63.317939757	192.168.100.105	8.8.8.8
65.403991157	192.168.100.105	8.8.8.8
65.445067102	192.168.100.105	8.8.8.8
66.242467307	192.168.100.105	8.8.8.8
67.495562027	192.168.100.105	8.8.8.8
69.636018340	192.168.100.105	8.8.8.8
71.690391243	192.168.100.105	8.8.8.8
73.268039956	192.168.100.105	8.8.8.8
73.742122460	192.168.100.105	8.8.8.8
75.887028509	192.168.100.105	8.8.8.8
78.610477894	192.168.100.105	8.8.8.8
80.750465644	192.168.100.105	8.8.8.8
82.843430318	192.168.100.105	8.8.8.8
82.899237851	192.168.100.105	8.8.8.8
84.953904537	192.168.100.105	8.8.8.8
86.586204572	192.168.100.105	8.8.8.8
87.036550165	192.168.100.105	8.8.8.8
88.388186197	192.168.100.105	8.8.8.8
89.092090855	192.168.100.105	8.8.8.8
